Site,Long,Lat
D1,39.18,-6.794
D2,39.194833333333335,-6.796983333333333
D3,39.22075,-6.8119
D4,39.2398,-6.81765
D5,39.24771666666667,-6.814666666666667
D6,39.26233333333333,-6.1497166666666665
D7,39.26525,-6.8103
D8,39.281166666666664,-6.796633333333333
